patient_id,n_spots_in_tissue,n_spots_missin_tumor_fraction,mean_tumor_fraction,median_tumor_fraction,tile_id,n_initial_tiles,fullres_pixel_size,tile_size_pixels,k_value,mean_tile_purity,median_tile_purity,tile_purity_std,tiles_before_filter,n_tumor_tiles,has_tumor_tiles,tumor_threshold,min_spots,tiles_path,genes_per_signature,n_missing_signatures,n_total_tiles_aggregated,n_tumor_tiles_aggregated,avg_spots_per_tile,has_tumor_fraction
CH_L_295a,4350.0,0.0,0.48988545091238117,0.5210502154034715,"['10-10', '10-11', '10-12', '10-13', '10-14', '10-15', '11-10', '11-11', '11-12', '11-13', '11-14', '11-15', '12-10', '12-11', '12-12', '12-13', '12-14', '12-15', '13-10', '13-11', '13-12', '13-13', '13-14', '13-15', '14-12', '14-13', '14-14', '14-15', '8-10', '8-11', '8-12', '8-13', '8-14', '8-15', '9-10', '9-11', '9-12', '9-13', '9-14', '9-15']",40.0,0.3899245344085396,2564.0,2.0,0.49203006345018796,0.5312247713150184,0.1830404188495242,40.0,20.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_295a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 49/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,40.0,20.0,151.5,
CH_L_296a,4344.0,0.0,0.34107381063549086,0.3325953717877492,"['10-10', '10-11', '10-12', '10-7', '10-8', '10-9', '11-10', '11-11', '11-12', '11-7', '11-8', '11-9', '12-10', '12-11', '12-8', '12-9', '7-10', '7-11', '7-12', '7-7', '7-8', '7-9', '8-10', '8-11', '8-12', '8-7', '8-8', '8-9', '9-10', '9-11', '9-12', '9-7', '9-8', '9-9']",34.0,0.40166315408612546,2489.0,2.0,0.33963867957215477,0.3362226759785846,0.036986842867786175,34.0,24.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_296a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 49/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,34.0,24.0,163.75,
CH_L_298a,2107.0,0.0,0.5112816612623963,0.584386235030832,"['10-0', '10-1', '10-2', '10-3', '10-4', '10-5', '11-0', '11-1', '11-2', '11-3', '11-4', '11-5', '12-0', '12-1', '12-2', '12-3', '12-4', '13-0', '13-1', '13-2', '13-3', '13-4', '13-5', '14-0', '14-1', '14-2', '14-3', '14-4', '14-5', '9-0', '9-1', '9-2', '9-3', '9-4', '9-5']",35.0,0.40028031401776587,2498.0,2.0,0.4905469683550508,0.509248558250962,0.1770595024108255,35.0,15.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_298a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,35.0,15.0,103.93,
CH_L_299a,4809.0,0.0,0.5315679341291158,0.6423355329777132,"['3-6', '3-7', '3-8', '3-9', '4-10', '4-5', '4-6', '4-7', '4-8', '4-9', '5-10', '5-5', '5-6', '5-7', '5-8', '5-9', '6-10', '6-5', '6-6', '6-7', '6-8', '6-9', '7-10', '7-5', '7-6', '7-7', '7-8', '7-9', '8-10', '8-5', '8-6', '8-7', '8-8', '8-9', '9-10', '9-5', '9-6', '9-7', '9-8', '9-9']",40.0,0.4153256616752174,2407.0,2.0,0.5165103768355699,0.5230611115222503,0.29252977224658183,40.0,23.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_299a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,40.0,23.0,156.09,
CH_L_300a,4719.0,0.0,0.20802275450222843,0.06792181584897287,"['10-10', '10-9', '4-10', '4-11', '4-12', '4-13', '4-14', '4-9', '5-10', '5-11', '5-12', '5-13', '5-14', '5-9', '6-10', '6-11', '6-12', '6-13', '6-14', '6-9', '7-10', '7-11', '7-12', '7-13', '7-14', '7-9', '8-10', '8-11', '8-12', '8-13', '8-14', '8-9', '9-10', '9-11', '9-12', '9-13', '9-14', '9-9']",38.0,0.41292420140339686,2421.0,2.0,0.22317740288348029,0.23253494116740914,0.1489318562220055,38.0,10.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_300a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,38.0,10.0,138.6,
CH_L_301a,4434.0,0.0,0.5230972223332007,0.5961769546304854,"['10-10', '10-11', '10-12', '10-13', '5-10', '5-11', '5-12', '5-13', '5-14', '5-15', '6-10', '6-11', '6-12', '6-13', '6-14', '6-15', '7-10', '7-11', '7-12', '7-13', '7-14', '7-15', '8-10', '8-11', '8-12', '8-13', '8-14', '8-15', '9-10', '9-11', '9-12', '9-13', '9-14', '9-15']",34.0,0.41919475488986147,2385.0,2.0,0.515838287954524,0.5301041478503972,0.15625726265518053,34.0,31.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_301a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,34.0,31.0,130.61,
CH_L_302a,4978.0,0.0,0.6284270751997288,0.7256267762854728,"['10-14', '10-15', '10-16', '10-17', '10-18', '10-19', '10-20', '5-15', '5-16', '5-17', '5-18', '5-19', '5-20', '6-15', '6-16', '6-17', '6-18', '6-19', '6-20', '7-15', '7-16', '7-17', '7-18', '7-19', '7-20', '8-15', '8-16', '8-17', '8-18', '8-19', '8-20', '9-15', '9-16', '9-17', '9-18', '9-19', '9-20']",37.0,0.4121490316638897,2426.0,2.0,0.6459482817361536,0.6781846632868297,0.1806440506056947,37.0,33.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_302a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,37.0,33.0,144.3,
CH_L_303a,4987.0,0.0,0.3629256236706343,0.34564017718564527,"['10-4', '10-5', '10-6', '10-7', '10-8', '10-9', '5-10', '5-5', '5-6', '5-7', '5-8', '5-9', '6-10', '6-5', '6-6', '6-7', '6-8', '6-9', '7-10', '7-4', '7-5', '7-6', '7-7', '7-8', '7-9', '8-4', '8-5', '8-6', '8-7', '8-8', '8-9', '9-4', '9-5', '9-6', '9-7', '9-8', '9-9']",37.0,0.4126253519331465,2423.0,2.0,0.38163352855682664,0.3822693966820472,0.12244062813062705,37.0,22.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_303a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,37.0,22.0,157.45,
CH_L_305a,4757.0,0.0,0.6112214933212545,0.673968122944004,"['10-10', '10-11', '10-12', '10-7', '10-8', '10-9', '11-10', '11-11', '11-12', '11-7', '11-8', '11-9', '12-10', '12-11', '12-12', '12-7', '12-8', '12-9', '6-10', '6-11', '6-12', '6-7', '6-8', '6-9', '7-10', '7-11', '7-12', '7-7', '7-8', '7-9', '8-10', '8-11', '8-12', '8-7', '8-8', '8-9', '9-10', '9-11', '9-12', '9-7', '9-8', '9-9']",42.0,0.43094023176095236,2320.0,2.0,0.5685809873859987,0.5807555028296683,0.18912863682981151,42.0,28.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_305a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,42.0,28.0,157.36,
CH_L_306a,4673.0,0.0,0.24301308080337014,0.20502465738369977,"['3-16', '3-17', '3-18', '3-19', '3-20', '4-15', '4-16', '4-17', '4-18', '4-19', '4-20', '5-16', '5-17', '5-18', '5-19', '5-20', '6-16', '6-17', '6-18', '6-19', '6-20', '7-16', '7-17', '7-18', '7-19', '7-20', '8-16', '8-17', '8-18', '8-19', '8-20']",31.0,0.4090116607563134,2444.0,2.0,0.24738657978422407,0.2811580888704207,0.10332947585654469,31.0,12.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_306a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 49/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,31.0,12.0,153.67,
